"","Overall"
"total_pymnt_band.(0,1e+03]",4.10656163029171
"total_pymnt_band.(1e+03,5e+03]",15.1439944620177
"total_pymnt_band.(5e+03,1e+04]",5.07269758297143
"total_pymnt_band.(1e+04,2e+04]",4.35365377853015
"total_pymnt_band.(2e+04,3e+04]",2.55136685211244
"total_pymnt_band.(3e+04,4e+04]",1.01161680522607
"total_pymnt_band.(4e+04,5e+04]",0.445363081924541
"total_pymnt_band.(5e+04,6e+04]",0.0586264440983798
"recoveries_band.(-1,0]",100
"recoveries_band.(0,1e+03]",20.241356769789
"recoveries_band.(1e+03,2e+03]",4.87933442843862
"recoveries_band.(2e+03,5e+03]",6.7225816625829
"recoveries_band.(5e+03,1e+04]",0.118422181571448
"recoveries_band.(1e+04,1.5e+04]",0.0036610543735028
"recoveries_band.(1.5e+04,2e+04]",0.000750679371263708
"recoveries_band.(2e+04,4e+04]",0.000597889893786642
"collections_12_mths_ex_med_band.(-1,0]",0.441840813471664
"collections_12_mths_ex_med_band.(0,1]",0.419587528261972
"collections_12_mths_ex_med_band.(1,2]",0.0366210335332375
"collections_12_mths_ex_med_band.(2,3]",0.00408564284901039
"collections_12_mths_ex_med_band.(3,4]",0.000100457996102703
"collections_12_mths_ex_med_band.(4,20]",0.000241222644337274
"acc_now_delinq_band.(-1,0]",0.144661338016465
"acc_now_delinq_band.(0,1]",0.140337234899609
"acc_now_delinq_band.(1,2]",0.00835958054603551
"acc_now_delinq_band.(2,3]",0
"acc_now_delinq_band.(3,4]",0
"acc_now_delinq_band.(4,5]",0.000169996088065147
"tot_coll_amt_band.(-1,0]",2.1601168306616
"tot_coll_amt_band.(0,1e+03]",2.47432356338794
"tot_coll_amt_band.(1e+03,5e+03]",0.789837852728621
"tot_coll_amt_band.(5e+03,1e+04]",0.251455512901061
"tot_coll_amt_band.(1e+04,2e+04]",0.120066914629015
"tot_coll_amt_band.(2e+04,5e+04]",0.0573738622507336
"tot_coll_amt_band.(5e+04,1e+05]",0.00819407144548871
"tot_coll_amt_band.(1e+05,5e+05]",0.000182644959209052
"tot_coll_amt_band.(5e+05,1e+07]",1.29718555207189e-05
"tot_cur_bal_band.(-1,0]",0.00660260072323274
"tot_cur_bal_band.(0,5e+03]",0.543842697187962
"tot_cur_bal_band.(5e+03,1e+04]",1.12439687138521
"tot_cur_bal_band.(1e+04,2e+04]",2.07723375718307
"tot_cur_bal_band.(2e+04,5e+04]",2.98705725066825
"tot_cur_bal_band.(5e+04,1e+05]",3.40783972843287
"tot_cur_bal_band.(1e+05,5e+05]",2.81383231876542
"tot_cur_bal_band.(5e+05,1e+07]",0.536041337941863
"total_rev_hi_lim_band.(-1,0]",0.0233349094500716
"total_rev_hi_lim_band.(0,1e+03]",0.10401486133302
"total_rev_hi_lim_band.(1e+03,5e+03]",0.994859919195535
"total_rev_hi_lim_band.(5e+03,1e+04]",1.90587530808615
"total_rev_hi_lim_band.(1e+04,2e+04]",2.93452640953593
"total_rev_hi_lim_band.(2e+04,5e+04]",3.37332767464435
"total_rev_hi_lim_band.(5e+04,1e+05]",1.55166147009277
"total_rev_hi_lim_band.(1e+05,5e+05]",0.441078076199716
"total_rev_hi_lim_band.(5e+05,1e+06]",0.00755921069875363
"total_rev_hi_lim_band.(1e+06,1e+07]",0.00561035733739052
"pmnt_diff_band.(-40,-20]",0
"pmnt_diff_band.(-20,0]",1.17338854706484
"pmnt_diff_band.(0,10]",1.14960868858993
"pmnt_diff_band.(10,20]",1.94426366199098
"pmnt_diff_band.(20,30]",2.26067174706242
"pmnt_diff_band.(30,40]",2.35717234260389
"pmnt_diff_band.(40,50]",1.3827924228189
"pmnt_diff_band.(50,61]",1.49217324917563
