"","Overall"
"zip_code.123xx",0.0527754912243867
"zip_code.124xx",0
"zip_code.125xx",0.0147728600118847
"zip_code.126xx",0.00126404041790405
"zip_code.127xx",0
"zip_code.128xx",0.0384128232821792
"zip_code.129xx",0
"zip_code.130xx",0.0535796678146265
"zip_code.131xx",0
"zip_code.132xx",0
"zip_code.133xx",0
"zip_code.134xx",0.0063006016170632
"zip_code.135xx",0.229645062685395
"zip_code.136xx",0
"zip_code.137xx",0
"zip_code.138xx",0
"zip_code.139xx",0
"zip_code.140xx",0.0755751986771258
"zip_code.141xx",0
"zip_code.142xx",0.000423489175450636
"zip_code.143xx",0
"zip_code.144xx",0
"zip_code.145xx",0
"zip_code.146xx",0
"zip_code.147xx",0.000534611335124667
"zip_code.148xx",0.00311642166162508
"zip_code.149xx",0
"zip_code.150xx",0.0224960093962123
"zip_code.151xx",0.00134806554291618
"zip_code.152xx",0.014078937650252
"zip_code.153xx",0
"zip_code.154xx",0
"zip_code.155xx",0
"zip_code.156xx",0
"zip_code.157xx",0
"zip_code.158xx",0
"zip_code.159xx",0.000467988038042262
"zip_code.160xx",0
"zip_code.161xx",0
"zip_code.162xx",0
"zip_code.163xx",0
"zip_code.164xx",0
"zip_code.165xx",0
"zip_code.166xx",0
"zip_code.167xx",0
"zip_code.168xx",0.00160654226948304
"zip_code.169xx",0
"zip_code.170xx",0.00850600153819166
"zip_code.171xx",0
"zip_code.172xx",0
"zip_code.173xx",0
"zip_code.174xx",0
"zip_code.175xx",0.000655183253259166
"zip_code.176xx",0
"zip_code.177xx",0
"zip_code.178xx",0.0669179187929405
"zip_code.179xx",0
"zip_code.180xx",0
"zip_code.181xx",0
"zip_code.182xx",0.0861191871653514
"zip_code.183xx",0
"zip_code.184xx",0
"zip_code.185xx",0
"zip_code.186xx",0
"zip_code.187xx",0
"zip_code.188xx",0
"zip_code.189xx",0.0544107918481792
"zip_code.190xx",0.00146542257519884
"zip_code.191xx",0.00282554433716404
"zip_code.193xx",0.000491387439944375
"zip_code.194xx",0
"zip_code.195xx",0
"zip_code.196xx",0
"zip_code.197xx",0.00535226540338502
"zip_code.198xx",0
"zip_code.199xx",0
"zip_code.200xx",0.00192361715797584
"zip_code.201xx",0.00214828061542097
"zip_code.203xx",0
"zip_code.204xx",0
"zip_code.205xx",0
"zip_code.206xx",0.0360222193288124
"zip_code.207xx",0.00587131569945286
"zip_code.208xx",0.00224368047355743
"zip_code.209xx",0.00405043368857819
"zip_code.210xx",0.0151506306209355
"zip_code.211xx",0
"zip_code.212xx",0.0456878700490183
"zip_code.214xx",0
"zip_code.215xx",0
"zip_code.216xx",0
"zip_code.217xx",0.0106683712442059
"zip_code.218xx",0
"zip_code.219xx",0
"zip_code.220xx",0.0019699925208827
"zip_code.221xx",0.00101105128213333
"zip_code.222xx",0.00202712171249205
"zip_code.223xx",0.00366007240485863
"zip_code.224xx",0.00187472534621878
"zip_code.225xx",0
"zip_code.226xx",0
"zip_code.227xx",0.00105031921863088
"zip_code.228xx",0
"zip_code.229xx",0.00106823356509647
"zip_code.230xx",0.000505132543159602
"zip_code.231xx",0.000462992950407655
"zip_code.232xx",0.000963781193270813
"zip_code.233xx",0
"zip_code.234xx",0.00103638557310279
"zip_code.235xx",0.100964560043533
"zip_code.236xx",0.00231230380579071
"zip_code.237xx",0
"zip_code.238xx",0.00623002899085957
"zip_code.239xx",0
"zip_code.240xx",0
"zip_code.241xx",0
"zip_code.242xx",0.000521295766384916
"zip_code.243xx",0
"zip_code.244xx",0
"zip_code.245xx",0
"zip_code.246xx",0
"zip_code.247xx",0
"zip_code.248xx",0
"zip_code.249xx",0
"zip_code.250xx",0
"zip_code.251xx",0
"zip_code.252xx",0
"zip_code.253xx",0
"zip_code.254xx",0.000324991693084904
"zip_code.255xx",0
"zip_code.256xx",0
"zip_code.257xx",0
"zip_code.258xx",0
"zip_code.259xx",0
"zip_code.260xx",0.000436788835506111
"zip_code.261xx",0
"zip_code.262xx",0
"zip_code.263xx",0
"zip_code.264xx",0.00149292452007283
"zip_code.265xx",0
"zip_code.266xx",0
"zip_code.267xx",0
"zip_code.268xx",0
"zip_code.269xx",0
"zip_code.270xx",0
"zip_code.271xx",0
"zip_code.272xx",0.0211122223355565
"zip_code.273xx",0.00240430301616364
"zip_code.274xx",0.000720137432084778
"zip_code.275xx",0.0195145294440477
"zip_code.276xx",0.0821217394061008
"zip_code.277xx",0
"zip_code.278xx",0.00959334687234222
"zip_code.279xx",0
"zip_code.280xx",0
"zip_code.281xx",0
"zip_code.282xx",0.0471422434615599
"zip_code.283xx",0.00528785188277645
"zip_code.284xx",0.000363990696255092
"zip_code.285xx",0.0216929566623562
"zip_code.286xx",0.00100871105905511
"zip_code.287xx",0.000899064387982795
"zip_code.288xx",0.00335668306667953
"zip_code.289xx",0
"zip_code.290xx",0.00301047048422133
"zip_code.291xx",0
"zip_code.292xx",0
"zip_code.293xx",0
"zip_code.294xx",0.0001755505553635
"zip_code.295xx",0.00980520989961649
"zip_code.296xx",0.0122631572766196
"zip_code.297xx",0
"zip_code.298xx",0
"zip_code.299xx",0.000454988370318865
"zip_code.300xx",0.021453332165396
"zip_code.301xx",0.0147867432809288
"zip_code.302xx",0.0500619952088792
"zip_code.303xx",0.00738442299766442
"zip_code.304xx",0
"zip_code.305xx",0.00331606259971128
"zip_code.306xx",0
"zip_code.307xx",0.0529856650655684
"zip_code.308xx",0.000502126805081631
"zip_code.309xx",0
"zip_code.310xx",0.00401934236021975
"zip_code.311xx",0
"zip_code.312xx",0
"zip_code.313xx",0
"zip_code.314xx",0
"zip_code.315xx",0
"zip_code.316xx",0
"zip_code.317xx",0
"zip_code.318xx",0
"zip_code.319xx",0
"zip_code.320xx",0.00070584775460526
"zip_code.321xx",0
"zip_code.322xx",0
"zip_code.323xx",0
"zip_code.324xx",0.0032393707175915
"zip_code.325xx",0.0107229291910018
"zip_code.326xx",0
"zip_code.327xx",0.00199415669292106
