"","Overall"
"collections_12_mths_ex_med_band.(2,3]",0
"collections_12_mths_ex_med_band.(3,4]",0
"collections_12_mths_ex_med_band.(4,20]",0
"acc_now_delinq_band.(-1,0]",1.12530324139505
"acc_now_delinq_band.(0,1]",0
"acc_now_delinq_band.(1,2]",0
"acc_now_delinq_band.(2,3]",0
"acc_now_delinq_band.(3,4]",0
"acc_now_delinq_band.(4,5]",0
"tot_coll_amt_band.(-1,0]",1.32588242068932
"tot_coll_amt_band.(0,1e+03]",2.9352666864064
"tot_coll_amt_band.(1e+03,5e+03]",0
"tot_coll_amt_band.(5e+03,1e+04]",0.795723652493131
"tot_coll_amt_band.(1e+04,2e+04]",0
"tot_coll_amt_band.(2e+04,5e+04]",0
"tot_coll_amt_band.(5e+04,1e+05]",0
"tot_coll_amt_band.(1e+05,5e+05]",0
"tot_coll_amt_band.(5e+05,1e+07]",0
"tot_cur_bal_band.(-1,0]",0
"tot_cur_bal_band.(0,5e+03]",0.239410702093751
"tot_cur_bal_band.(5e+03,1e+04]",0.920015459442746
"tot_cur_bal_band.(1e+04,2e+04]",0.381562918454942
"tot_cur_bal_band.(2e+04,5e+04]",0.682220663140857
"tot_cur_bal_band.(5e+04,1e+05]",3.915009531437
"tot_cur_bal_band.(1e+05,5e+05]",1.63206476788666
"tot_cur_bal_band.(5e+05,1e+07]",0.600211494108327
"total_rev_hi_lim_band.(-1,0]",0
"total_rev_hi_lim_band.(0,1e+03]",0
"total_rev_hi_lim_band.(1e+03,5e+03]",0
"total_rev_hi_lim_band.(5e+03,1e+04]",0.89945673077192
"total_rev_hi_lim_band.(1e+04,2e+04]",0.737146552236919
"total_rev_hi_lim_band.(2e+04,5e+04]",4.47330629559387
"total_rev_hi_lim_band.(5e+04,1e+05]",3.40282211055296
"total_rev_hi_lim_band.(1e+05,5e+05]",0.892440623053386
"total_rev_hi_lim_band.(5e+05,1e+06]",0
"total_rev_hi_lim_band.(1e+06,1e+07]",0
"pmnt_diff_band.(-40,-20]",0
"pmnt_diff_band.(-20,0]",100
"pmnt_diff_band.(0,10]",14.0033340242801
"pmnt_diff_band.(10,20]",0
"pmnt_diff_band.(20,30]",2.46743796665218
"pmnt_diff_band.(30,40]",2.40692655086815
"pmnt_diff_band.(40,50]",5.47376068004419
"pmnt_diff_band.(50,61]",0.298796557405378
